type,minute,extra,game_id,player_id,club_name,result,description,player_in.href,player_assist.href
Goals,70,,4316187,875328,Esporte Clube Bahia,0:1,", Right-footed shot, 1. Goal of the Season Assist: , Pass, 1. Assist of the Season",,/jean-lucas/leistungsdatendetails/spieler/578872/saison/2023/wettbewerb/BRA1
Goals,72,,4316187,674732,Sport Club Internacional,1:1,", Left-footed shot, 1. Goal of the Season",,
Goals,83,,4316187,51174,Sport Club Internacional,2:1,", Header, 1. Goal of the Season Assist: , Corner, 1. Assist of the Season",,/bruno-henrique/leistungsdatendetails/spieler/277335/saison/2023/wettbewerb/BRA1
Substitutions,46,,4316187,982549,Sport Club Internacional,,", Tactical",/wesley/profil/spieler/674732,
Substitutions,46,,4316187,388266,Esporte Clube Bahia,,", Tactical",/cauly/profil/spieler/162812,
Substitutions,46,,4316187,703322,Sport Club Internacional,,", Tactical",/bruno-henrique/profil/spieler/277335,
Substitutions,46,,4316187,294873,Sport Club Internacional,,", Tactical",/gabriel-mercado/profil/spieler/45319,
Substitutions,64,,4316187,727751,Esporte Clube Bahia,,", Tactical",/biel/profil/spieler/875328,
Substitutions,76,,4316187,236202,Sport Club Internacional,,", Tactical",/lucas-alario/profil/spieler/193782,
Substitutions,80,,4316187,392487,Esporte Clube Bahia,,", Tactical",/everaldo/profil/spieler/205041,
Substitutions,80,,4316187,52896,Esporte Clube Bahia,,", Tactical",/carlos-de-pena/profil/spieler/257740,
Substitutions,83,,4316187,678439,Sport Club Internacional,,", Tactical",/gustavo-prado/profil/spieler/1095552,
Cards,13,,4316187,578872,Esporte Clube Bahia,,"1. Yellow card  , Foul",,
Cards,29,,4316187,678439,Sport Club Internacional,,"1. Yellow card  , Foul",,
Cards,41,,4316187,51174,Sport Club Internacional,,"1. Yellow card  , Dissent",,
Cards,88,,4316187,193782,Sport Club Internacional,,"1. Yellow card  , Foul",,
Cards,90,3.0,4316187,275381,Sport Club Internacional,,"1. Yellow card  , Foul",,
Cards,90,4.0,4316187,205041,Esporte Clube Bahia,,1. Yellow card,,
Cards,90,4.0,4316187,45319,Sport Club Internacional,,"1. Yellow card  , Dissent",,
Cards,90,6.0,4316187,257740,Esporte Clube Bahia,,"1. Yellow card  , Foul",,
Goals,20,,4316310,432895,CR Flamengo,1:0,", Right-footed shot, 2. Goal of the Season Assist: , Pass, 1. Assist of the Season",,/lorran/leistungsdatendetails/spieler/1009030/saison/2023/wettbewerb/BRA1
Goals,63,,4316310,1009030,CR Flamengo,2:0,", Left-footed shot, 1. Goal of the Season Assist: , Pass, 1. Assist of the Season",,/gerson/leistungsdatendetails/spieler/341705/saison/2023/wettbewerb/BRA1
Substitutions,46,,4316310,432895,CR Flamengo,,", Tactical",/gabriel-barbosa/profil/spieler/244275,
Substitutions,46,,4316310,57229,Sport Club Corinthians Paulista,,", Tactical",/yuri-alberto/profil/spieler/489893,
Substitutions,75,,4316310,603122,Sport Club Corinthians Paulista,,", Tactical",/igor-coronado/profil/spieler/215915,
Substitutions,75,,4316310,262262,Sport Club Corinthians Paulista,,", Tactical",/gustavo-silva/profil/spieler/636314,
Substitutions,82,,4316310,47592,Sport Club Corinthians Paulista,,", Tactical",/leo-mana/profil/spieler/838387,
Substitutions,82,,4316310,565009,Sport Club Corinthians Paulista,,", Tactical",/biro/profil/spieler/743590,
Substitutions,88,,4316310,1009030,CR Flamengo,,", Tactical",/leo-ortiz/profil/spieler/374136,
Substitutions,88,,4316310,321239,CR Flamengo,,", Tactical",/luiz-araujo/profil/spieler/435485,
Substitutions,90,2.0,4316310,397458,CR Flamengo,,", Tactical",/victor-hugo/profil/spieler/749559,
Cards,45,2.0,4316310,262262,Sport Club Corinthians Paulista,,"2. Yellow card  , Foul",,
Cards,68,,4316310,288431,CR Flamengo,,"3. Yellow card  , Foul",,
Goals,45,1.0,4316295,574772,Sociedade Esportiva Palmeiras,0:1,", Header, 1. Goal of the Season Assist: , Cross, 1. Assist of the Season",,/luis-guilherme/leistungsdatendetails/spieler/991800/saison/2023/wettbewerb/BRA1
Goals,71,,4316295,1056993,Sociedade Esportiva Palmeiras,0:2,", Penalty, 1. Goal of the Season",,
Substitutions,58,,4316295,991800,Sociedade Esportiva Palmeiras,,", Tactical",/estevao/profil/spieler/1056993,
Substitutions,58,,4316295,971570,Sociedade Esportiva Palmeiras,,", Tactical",/richard-rios/profil/spieler/735573,
Substitutions,58,,4316295,574772,Sociedade Esportiva Palmeiras,,", Tactical",/romulo/profil/spieler/867461,
Substitutions,62,,4316295,169179,Cuiabá Esporte Clube (MT),,", Injury",/rikelme/profil/spieler/862358,
Substitutions,70,,4316295,675178,Cuiabá Esporte Clube (MT),,", Tactical",/andre-luis/profil/spieler/519851,
Substitutions,71,,4316295,663578,Cuiabá Esporte Clube (MT),,", Tactical",/bruno-alves/profil/spieler/177534,
Substitutions,82,,4316295,642758,Sociedade Esportiva Palmeiras,,", Tactical",/fabinho/profil/spieler/627230,
Substitutions,82,,4316295,608216,Sociedade Esportiva Palmeiras,,", Tactical",/ze-rafael/profil/spieler/225432,
Substitutions,83,,4316295,700933,Cuiabá Esporte Clube (MT),,", Tactical",/jonathan-cafu/profil/spieler/347100,
Substitutions,83,,4316295,430761,Cuiabá Esporte Clube (MT),,", Tactical",/clayson/profil/spieler/392809,
Cards,43,,4316295,700933,Cuiabá Esporte Clube (MT),,"2. Yellow card  , Dissent",,
Cards,50,,4316295,458710,Sociedade Esportiva Palmeiras,,"3. Yellow card  , Foul",,
Cards,75,,4316295,608216,Sociedade Esportiva Palmeiras,,"2. Yellow card  , Foul",,
Cards,90,4.0,4316295,225432,Sociedade Esportiva Palmeiras,,"1. Yellow card  , Foul",,
Cards,90,7.0,4316295,617687,Cuiabá Esporte Clube (MT),,"2. Yellow card  , Foul",,
Goals,45,3.0,4316291,205041,Esporte Clube Bahia,0:1,", Penalty, 3. Goal of the Season",,
Goals,63,,4316291,884072,Botafogo de Futebol e Regatas,1:1,", Right-footed shot, 1. Goal of the Season Assist: , 1. Assist of the Season",,/marlon-freitas/leistungsdatendetails/spieler/364972/saison/2023/wettbewerb/BRA1
Goals,86,,4316291,289802,Esporte Clube Bahia,1:2,", Right-footed shot, 1. Goal of the Season Assist: , Pass, 1. Assist of the Season",,/carlos-de-pena/leistungsdatendetails/spieler/257740/saison/2023/wettbewerb/BRA1
Substitutions,46,,4316291,740157,Botafogo de Futebol e Regatas,,", Tactical",/cuiabano/profil/spieler/891353,
Substitutions,57,,4316291,800175,Botafogo de Futebol e Regatas,,", Tactical",/oscar-romero/profil/spieler/217886,
Substitutions,58,,4316291,52896,Esporte Clube Bahia,,", Tactical",/rezende/profil/spieler/793815,
Substitutions,58,,4316291,205041,Esporte Clube Bahia,,", Tactical",/ademir/profil/spieler/544259,
Substitutions,72,,4316291,884072,Botafogo de Futebol e Regatas,,", Tactical",/diego-hernandez/profil/spieler/800732,
Substitutions,72,,4316291,273438,Botafogo de Futebol e Regatas,,", Tactical",/gregore/profil/spieler/546036,
Substitutions,72,,4316291,727751,Esporte Clube Bahia,,", Tactical",/carlos-de-pena/profil/spieler/257740,
Substitutions,77,,4316291,162812,Esporte Clube Bahia,,", Tactical",/biel/profil/spieler/875328,
Substitutions,78,,4316291,392487,Esporte Clube Bahia,,", Tactical",/rafael-ratao/profil/spieler/289802,
Substitutions,82,,4316291,76746,Botafogo de Futebol e Regatas,,", Tactical",/alexander-barboza/profil/spieler/379752,
Cards,36,,4316291,524446,Esporte Clube Bahia,,"1. Yellow card  , Foul",,
Cards,77,,4316291,793815,Esporte Clube Bahia,,"1. Yellow card  , Foul",,
Cards,82,,4316291,195810,Botafogo de Futebol e Regatas,,"1. Yellow card  , Foul",,
Cards,90,5.0,4316291,379752,Botafogo de Futebol e Regatas,,"1. Yellow card  , Foul",,
Goals,26,,4316294,633212,Club Athletico Paranaense,1:0,", Tap-in, 1. Goal of the Season Assist: , Cross, 2. Assist of the Season",,/lucas-esquivel/leistungsdatendetails/spieler/829969/saison/2023/wettbewerb/BRA1
Substitutions,10,,4316294,457533,Club Athletico Paranaense,,", Injury",/julimar/profil/spieler/593205,
Substitutions,23,,4316294,212114,Clube de Regatas Vasco da Gama,,", Tactical",/joao-victor/profil/spieler/671145,
