player_number,player_name,is_team_captain,position,club,formation,game_id,player_id
1,Bento,0,Goalkeeper,home,4-2-3-1,4316294,691906
15,Mateo Gamarra,0,Centre-Back,home,4-2-3-1,4316294,661245
4,Kaique Rocha,0,Centre-Back,home,4-2-3-1,4316294,633377
37,Lucas Esquivel,0,Left-Back,home,4-2-3-1,4316294,829969
29,Leonardo Godoy,0,Right-Back,home,4-2-3-1,4316294,369556
5,Fernandinho,1,Defensive Midfield,home,4-2-3-1,4316294,26267
26,Erick,0,Defensive Midfield,home,4-2-3-1,4316294,633212
10,Bruno Zapelli,0,Attacking Midfield,home,4-2-3-1,4316294,711600
28,Tomás Cuello,0,Left Winger,home,4-2-3-1,4316294,503052
14,Agustín Canobbio,0,Right Winger,home,4-2-3-1,4316294,457533
92,Pablo,0,Centre-Forward,home,4-2-3-1,4316294,148765
24,Léo Linck,0,Goalkeeper,home,4-2-3-1,4316294,742034
46,Marcos André,0,Centre-Back,home,4-2-3-1,4316294,1196689
6,Fernando,0,Left-Back,home,4-2-3-1,4316294,731057
22,Madson,0,Right-Back,home,4-2-3-1,4316294,177845
3,Gabriel,0,Defensive Midfield,home,4-2-3-1,4316294,213606
23,Felipinho,0,Central Midfield,home,4-2-3-1,4316294,1115489
30,Zé Vitor,0,Central Midfield,home,4-2-3-1,4316294,825780
80,Alex Santana,0,Central Midfield,home,4-2-3-1,4316294,219835
88,Christian,0,Central Midfield,home,4-2-3-1,4316294,658678
11,Nikão,0,Attacking Midfield,home,4-2-3-1,4316294,149572
9,Gonzalo Mastriani,0,Centre-Forward,home,4-2-3-1,4316294,195882
20,Julimar,0,Centre-Forward,home,4-2-3-1,4316294,593205
1,Léo Jardim,0,Goalkeeper,away,4-3-3 Attacking,4316294,288415
3,Léo,1,Centre-Back,away,4-3-3 Attacking,4316294,403296
4,Maicon,0,Centre-Back,away,4-3-3 Attacking,4316294,84695
6,Lucas Piton,0,Left-Back,away,4-3-3 Attacking,4316294,670201
96,Paulo Henrique,0,Right-Back,away,4-3-3 Attacking,4316294,412594
