name,last_name,number,date_of_birth,age,height,citizenship,position,foot,joined,contract_expires,outfitter,code,player_id,club_id,country_of_birth,city_of_birth
,Renê,6,1992-09-14,31,1.74,Brazil,Defender - Left-Back,left,2022-04-11,2024-12-31,adidas,rene,212209,6600.0,Brazil,Picos
,João Dalla Corte,0,2006-06-07,17,1.78,Brazil,Defender - Centre-Back,left,2024-01-01,2025-12-31,,joao-dalla-corte,1004735,6600.0,Brazil,Encruzilhada do Sul
,Dalbert,29,1993-09-08,30,1.81,Brazil,Defender - Left-Back,left,2024-04-17,2024-12-31,,dalbert,312862,6600.0,Brazil,Barra Mansa
,Felipe Motta,52,2003-08-03,20,1.87,Brazil,Defender - Centre-Back,,2024-02-23,2025-06-30,,felipe-motta,1083638,6600.0,Brazil,Rio de Janeiro
,Igor Gomes,3,2001-03-06,23,1.85,Brazil,Defender - Centre-Back,right,2022-08-05,2024-12-31,Nike,igor-gomes,689640,6600.0,Brazil,Barra Mansa
Gabriel,Mercado,25,1987-03-18,37,1.8,Argentina,Defender - Centre-Back,right,2021-07-05,2024-12-31,Nike,gabriel-mercado,45319,6600.0,Argentina,Puerto Madryn
,Rodrigo Moledo,0,1987-10-27,36,1.88,Brazil,Defender - Centre-Back,right,2024-01-01,,Nike,rodrigo-moledo,119434,6600.0,Brazil,Rio de Janeiro
Nicolás,Hernández,2,1998-01-18,26,1.85,Colombia,Defender - Centre-Back,left,2024-01-12,2024-12-31,Nike,nicolas-hernandez,643750,6600.0,Colombia,Villavicencio
,Anthoni,24,2002-01-23,22,1.93,Brazil,Goalkeeper,right,2023-01-01,2024-12-31,Nike,anthoni,869437,6600.0,Brazil,Canela
,Vitão,44,2000-02-02,24,1.85,Brazil,Defender - Centre-Back,right,2022-04-08,2024-06-30,adidas,vitao,428783,6600.0,Brazil,Jacarezinho
,Keiller,13,1996-10-29,27,1.93,Brazil,Goalkeeper,right,2024-02-05,2024-12-31,,keiller,417084,6600.0,Brazil,Eldorado do Sul
,Emerson Junior,0,2000-02-07,24,1.96,Brazil,Goalkeeper,right,2024-01-01,2024-12-31,,emerson-junior,813038,6600.0,Brazil,Estância Velha
,John Victor,12,1996-02-13,28,1.97,Brazil,Goalkeeper,right,2024-01-04,2027-06-30,adidas,john-victor,432914,6600.0,Brazil,Diadema
Sergio,Rochet,1,1993-03-23,31,1.9,Uruguay,Goalkeeper,right,2023-07-13,2026-12-31,,sergio-rochet,264014,6600.0,Uruguay,Nueva Palmira
,Lucca,45,2003-04-02,21,1.8,Brazil,Attack - Centre-Forward,right,2023-01-01,2025-12-31,Nike,lucca,982549,6600.0,Brazil,Fortaleza
,Alemão,14,1998-04-01,26,1.82,Brazil,Attack - Centre-Forward,right,2023-07-17,2024-06-30,Nike,alemao,560417,6600.0,Brazil,Campo Erê
Enner,Valencia,13,1989-11-04,34,1.77,Ecuador,Attack - Centre-Forward,right,2023-07-03,2026-06-30,,enner-valencia,139503,6600.0,Ecuador,San Lorenzo
,Luiz Adriano,12,1987-04-12,37,1.84,Brazil,Attack - Centre-Forward,right,2024-03-05,2024-12-31,adidas,luiz-adriano,48974,6600.0,Brazil,Porto Alegre
,Gabriel Barros,0,2001-10-25,22,1.82,Brazil,Attack - Right Winger,left,2024-03-07,2024-12-31,,gabriel-barros,738507,6600.0,Brazil,São Paulo
,Jean Dias,22,1990-10-22,33,1.7,Brazil,Attack - Right Winger,right,2024-01-01,2024-12-31,,jean-dias,788362,6600.0,Brazil,Conceição
,Pedro Henrique,16,1990-06-16,33,1.79,Brazil,Attack - Right Winger,right,2024-02-16,2025-12-31,Mizuno,pedro-henrique,213368,6600.0,Brazil,Santa Cruz do Sul
,Estêvão,0,2002-02-03,22,1.76,Brazil,Midfield - Attacking Midfield,left,2024-01-01,2024-12-31,Nike,estevao,982552,6600.0,Brazil,Amambai
,Wanderson,11,1994-10-07,29,1.75,Brazil,Attack - Left Winger,right,2023-01-01,2025-12-31,Nike,wanderson,236202,6600.0,Brazil,São Luís
,Allison,42,2002-02-07,22,1.77,Brazil,Midfield - Attacking Midfield,right,2023-01-31,2026-06-30,,allison,982551,6600.0,Brazil,São Leopoldo
,Alan Patrick,10,1991-05-13,33,1.77,Brazil,Midfield - Attacking Midfield,right,2022-04-11,2026-12-31,adidas,alan-patrick,104505,6600.0,Brazil,São Paulo
,Mauricio,27,2001-06-22,22,1.74,Brazil,Midfield - Attacking Midfield,left,2020-11-06,2027-12-31,Nike,mauricio,678439,6600.0,Brazil,São Paulo
,Baralhas,0,1998-10-10,25,1.78,Brazil,Midfield - Central Midfield,right,2023-07-18,2024-12-31,Nike,baralhas,552242,6600.0,Brazil,Botucatu
,Lucas Ramos,16,2001-01-03,23,1.73,Brazil,Midfield - Central Midfield,right,2024-02-01,2024-12-31,adidas,lucas-ramos,689507,6600.0,Brazil,Sarandí
Carlos,de Pena,14,1992-03-11,32,1.77,Uruguay,Midfield - Central Midfield,left,2024-04-11,2024-12-31,adidas,carlos-de-pena,257740,6600.0,Uruguay,Montevideo
,Bruno Henrique,8,1989-10-21,34,1.8,Brazil,Midfield - Central Midfield,right,2023-07-19,2025-12-31,,bruno-henrique,277335,6600.0,Brazil,Apucarana
